pdf_page,display_page,text_lines,n_words,text_extent_pct,density_pct,n_tables_on_page,n_table_rows_est,n_figures_on_page,top_text_line,status
1,,13,59,69,10,0,0,0,Golden Gate University,ok
2,ii,2,6,2,0,0,0,0,pageno: ii of 1907,almost_empty
3,i,19,220,90,20,0,0,0,pageno: i of 1907,ok
4,ii,53,194,57,18,0,0,0,pageno: ii of 1907,ok
5,iii,10,69,57,6,0,0,0,pageno: iii of 1907,ok
6,iv,4,20,29,2,0,0,0,pageno: iv of 1907,sparse
7,v,12,92,50,9,0,0,0,pageno: v of 1907,ok
8,vi,17,237,92,26,0,0,0,pageno: vi of 1907,ok
9,vii,20,233,84,26,0,0,0,pageno: vii of 1907,ok
10,viii,21,155,91,17,0,0,0,pageno: viii of 1907,ok
11,ix,4,42,8,3,0,0,0,pageno: ix of 1907,sparse
12,x,41,240,93,24,0,0,0,pageno: x of 1907,ok
13,xi,3,37,8,3,0,0,0,pageno: xi of 1907,almost_empty
14,xii,42,245,84,9,0,0,0,pageno: xii of 1907,ok
15,xiii,57,769,93,20,0,0,0,pageno: xiii of 1907,ok
16,xiv,58,747,95,21,0,0,0,pageno: xiv of 1907,ok
17,xv,58,719,94,22,0,0,0,pageno: xv of 1907,ok
18,xvi,58,701,95,22,0,0,0,pageno: xvi of 1907,ok
19,xvii,57,671,94,24,0,0,0,pageno: xvii of 1907,ok
20,xviii,56,705,95,23,0,0,0,pageno: xviii of 1907,ok
21,xix,61,775,95,22,0,0,0,pageno: xix of 1907,ok
22,xx,60,750,95,21,0,0,0,pageno: xx of 1907,ok
23,xxi,54,607,93,22,0,0,0,pageno: xxi of 1907,ok
24,xxii,59,813,95,21,0,0,0,pageno: xxii of 1907,ok
25,xxiii,57,781,93,19,0,0,0,pageno: xxiii of 1907,ok
26,xxiv,57,796,93,19,0,0,0,pageno: xxiv of 1907,ok
27,xxv,3,6,1,0,0,0,0,pageno: xxv of 1907,almost_empty
28,xxvi,71,542,85,18,0,0,0,pageno: xxvi of 1907,ok
29,xxvii,88,687,94,23,0,0,0,pageno: xxvii of 1907,ok
30,xxviii,86,674,95,23,0,0,0,pageno: xxviii of 1907,ok
31,xxix,89,775,95,21,0,0,0,pageno: xxix of 1907,ok
32,xxx,88,878,94,20,0,0,0,pageno: xxx of 1907,ok
33,xxxi,88,850,94,20,0,0,0,pageno: xxxi of 1907,ok
34,xxxii,88,862,94,20,0,0,0,pageno: xxxii of 1907,ok
35,xxxiii,89,782,94,21,0,0,0,pageno: xxxiii of 1907,ok
36,xxxiv,90,711,94,23,0,0,0,pageno: xxxiv of 1907,ok
37,xxxv,89,778,94,22,0,0,0,pageno: xxxv of 1907,ok
38,xxxvi,88,687,94,23,0,0,0,pageno: xxxvi of 1907,ok
39,xxxvii,88,612,94,24,0,0,0,pageno: xxxvii of 1907,ok
40,xxxviii,88,646,94,24,0,0,0,pageno: xxxviii of 1907,ok
41,xxxix,91,683,94,23,0,0,0,pageno: xxxix of 1907,ok
42,xl,87,607,94,25,0,0,0,pageno: xl of 1907,ok
43,xli,89,567,94,25,0,0,0,pageno: xli of 1907,ok
44,xlii,88,648,95,23,0,0,0,pageno: xlii of 1907,ok
45,xliii,89,610,94,25,0,0,0,pageno: xliii of 1907,ok
46,xliv,81,573,94,25,0,0,0,pageno: xliv of 1907,ok
47,xlv,89,737,94,22,0,0,0,pageno: xlv of 1907,ok
48,xlvi,85,651,95,24,0,0,0,pageno: xlvi of 1907,ok
